Feedback_ID,Employee_ID,City,Department,Date,Engagement_Score,eNPS_Bucket,Free_Text
1,4168,Henderson,Operations,2016-11-08,1,Detractor,Delivery delays caused frustration for both team and customers.
2,7196,Henderson,HR,2016-11-08,7,Passive,Workload is manageable but processes could be faster.
3,6304,Los Angeles,HR,2016-06-12,8,Passive,Workload is manageable but processes could be faster.
4,9748,Fort Lauderdale,Customer Service,2015-10-11,8,Passive,"Overall okay week, nothing special to report."
5,3826,Fort Lauderdale,Operations,2015-10-11,2,Detractor,Too much workload and not enough staff during peak hours.
6,8441,Los Angeles,Sales,2014-06-09,4,Detractor,We had frequent stockouts and customers were unhappy.
7,6445,Los Angeles,HR,2014-06-09,4,Detractor,Delivery delays caused frustration for both team and customers.
8,8842,Los Angeles,Sales,2014-06-09,8,Passive,Workload is manageable but processes could be faster.
9,4456,Los Angeles,Customer Service,2014-06-09,3,Detractor,Too much workload and not enough staff during peak hours.
10,7100,Los Angeles,Sales,2014-06-09,5,Detractor,Delivery delays caused frustration for both team and customers.
11,3145,Los Angeles,Sales,2014-06-09,7,Passive,"Overall okay week, nothing special to report."
12,8248,Los Angeles,Customer Service,2014-06-09,10,Promoter,Good communication from management and clear goals.
13,4217,Concord,HR,2017-04-15,3,Detractor,Too much workload and not enough staff during peak hours.
14,8693,Seattle,Customer Service,2016-12-05,10,Promoter,Teamwork was great and customers seemed satisfied.
15,9996,Fort Worth,Operations,2015-11-22,1,Detractor,Delivery delays caused frustration for both team and customers.
16,1963,Fort Worth,Customer Service,2015-11-22,5,Detractor,We had frequent stockouts and customers were unhappy.
17,1368,Madison,Customer Service,2014-11-11,9,Promoter,Teamwork was great and customers seemed satisfied.
18,8596,West Jordan,Customer Service,2014-05-13,6,Detractor,We had frequent stockouts and customers were unhappy.
19,9577,San Francisco,Sales,2014-08-27,6,Detractor,Too much workload and not enough staff during peak hours.
20,5639,San Francisco,HR,2014-08-27,4,Detractor,Too much workload and not enough staff during peak hours.
21,7821,San Francisco,Customer Service,2014-08-27,5,Detractor,Too much workload and not enough staff during peak hours.
22,2083,Fremont,Sales,2016-12-09,7,Passive,Workload is manageable but processes could be faster.
23,7423,Fremont,HR,2016-12-09,7,Passive,Workload is manageable but processes could be faster.
24,8803,Philadelphia,Operations,2017-07-16,1,Detractor,Delivery delays caused frustration for both team and customers.
25,7947,Orem,Operations,2015-09-25,8,Passive,"Overall okay week, nothing special to report."
26,9819,Los Angeles,Warehouse,2016-01-16,6,Detractor,Too much workload and not enough staff during peak hours.
27,4162,Los Angeles,HR,2016-01-16,1,Detractor,Delivery delays caused frustration for both team and customers.
28,8494,Philadelphia,Operations,2015-09-17,2,Detractor,We had frequent stockouts and customers were unhappy.
29,7531,Philadelphia,Customer Service,2015-09-17,8,Passive,"Some minor issues with systems, but we handled them."
30,2190,Philadelphia,Operations,2015-09-17,2,Detractor,Too much workload and not enough staff during peak hours.
31,9710,Philadelphia,Warehouse,2015-09-17,3,Detractor,Delivery delays caused frustration for both team and customers.
32,5377,Philadelphia,HR,2015-09-17,8,Passive,"Some minor issues with systems, but we handled them."
33,1153,Philadelphia,Sales,2015-09-17,6,Detractor,We had frequent stockouts and customers were unhappy.
34,4590,Philadelphia,Operations,2015-09-17,7,Passive,"Overall okay week, nothing special to report."
35,8881,Houston,Customer Service,2017-10-19,8,Passive,"Overall okay week, nothing special to report."
36,9470,Richardson,Sales,2016-12-08,3,Detractor,Delivery delays caused frustration for both team and customers.
37,8007,Richardson,Sales,2016-12-08,1,Detractor,Too much workload and not enough staff during peak hours.
38,1323,Houston,Customer Service,2015-12-27,3,Detractor,Too much workload and not enough staff during peak hours.
39,4264,Houston,Sales,2015-12-27,9,Promoter,Good communication from management and clear goals.
40,7371,Houston,HR,2015-12-27,2,Detractor,We had frequent stockouts and customers were unhappy.
41,6262,Houston,Sales,2015-12-27,5,Detractor,Delivery delays caused frustration for both team and customers.
42,2700,Naperville,Sales,2017-09-10,5,Detractor,Delivery delays caused frustration for both team and customers.
43,5346,Los Angeles,Customer Service,2016-07-17,4,Detractor,We had frequent stockouts and customers were unhappy.
44,3438,Melbourne,Customer Service,2017-09-19,1,Detractor,Too much workload and not enough staff during peak hours.
45,2187,Eagan,Operations,2016-03-11,7,Passive,Workload is manageable but processes could be faster.
46,2592,Eagan,HR,2016-03-11,9,Promoter,Good communication from management and clear goals.
47,9045,Westland,Sales,2014-10-20,1,Detractor,Delivery delays caused frustration for both team and customers.
48,8085,Dover,HR,2016-06-20,1,Detractor,We had frequent stockouts and customers were unhappy.
49,7647,Dover,Operations,2016-06-20,6,Detractor,Delivery delays caused frustration for both team and customers.
50,9158,New Albany,Warehouse,2015-04-18,8,Passive,"Some minor issues with systems, but we handled them."
51,8376,New Albany,Customer Service,2015-04-18,2,Detractor,Too much workload and not enough staff during peak hours.
52,7005,New Albany,Warehouse,2015-04-18,8,Passive,"Overall okay week, nothing special to report."
53,6146,New Albany,Operations,2015-04-18,6,Detractor,We had frequent stockouts and customers were unhappy.
54,5834,New York City,Customer Service,2016-12-11,1,Detractor,Too much workload and not enough staff during peak hours.
55,5373,New York City,Warehouse,2016-12-11,2,Detractor,Too much workload and not enough staff during peak hours.
56,5165,Troy,Sales,2016-06-17,8,Passive,"Some minor issues with systems, but we handled them."
57,7387,Troy,Operations,2016-06-17,5,Detractor,Too much workload and not enough staff during peak hours.
58,3347,Troy,Operations,2016-06-17,9,Promoter,Teamwork was great and customers seemed satisfied.
59,8610,Troy,Warehouse,2016-06-17,2,Detractor,Too much workload and not enough staff during peak hours.
60,5146,Troy,Customer Service,2016-06-17,10,Promoter,Teamwork was great and customers seemed satisfied.
61,9124,Troy,HR,2016-06-17,1,Detractor,Too much workload and not enough staff during peak hours.
62,6240,Troy,Customer Service,2016-06-17,9,Promoter,Teamwork was great and customers seemed satisfied.
63,4107,Los Angeles,Operations,2015-11-24,10,Promoter,Sales were strong this week and operations ran smoothly.
64,7274,Los Angeles,Sales,2015-11-24,7,Passive,"Overall okay week, nothing special to report."
65,7147,Los Angeles,Warehouse,2015-11-24,3,Detractor,Delivery delays caused frustration for both team and customers.
66,3210,Los Angeles,HR,2015-11-24,2,Detractor,Too much workload and not enough staff during peak hours.
67,7338,Chicago,Customer Service,2015-04-30,3,Detractor,Delivery delays caused frustration for both team and customers.
68,3314,Gilbert,Operations,2014-12-05,1,Detractor,Too much workload and not enough staff during peak hours.
69,5378,Gilbert,HR,2014-12-05,7,Passive,"Overall okay week, nothing special to report."
70,9699,Springfield,Warehouse,2016-06-04,10,Promoter,Teamwork was great and customers seemed satisfied.
71,8856,New York City,Sales,2016-09-18,10,Promoter,Teamwork was great and customers seemed satisfied.
72,2019,Jackson,Customer Service,2017-09-14,2,Detractor,Delivery delays caused frustration for both team and customers.
73,4362,Memphis,Customer Service,2015-04-26,5,Detractor,Too much workload and not enough staff during peak hours.
74,7681,Memphis,Warehouse,2015-04-26,5,Detractor,Delivery delays caused frustration for both team and customers.
75,7364,Memphis,Sales,2015-04-26,7,Passive,"Overall okay week, nothing special to report."
