City,Region,Category,Sub_Category,Product_Name,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Date,On_Hand,On_Order,Lead_Time_Days,Reorder_Level,Stockout_Flag
Henderson,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,,,,,2016-11-08,7,48,10,57,1
Henderson,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,,2016-11-08,74,71,6,54,0
Los Angeles,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,,,,,2016-06-12,131,90,8,47,0
Fort Lauderdale,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,,,2015-10-11,169,53,8,27,0
Fort Lauderdale,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,,,,,2015-10-11,102,50,4,36,0
Los Angeles,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,,,,2014-06-09,87,12,4,51,0
Los Angeles,West,Office Supplies,Art,Newell 322,,,,,2014-06-09,73,40,9,22,0
Los Angeles,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,,,,,2014-06-09,44,47,9,48,1
Los Angeles,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,,,,2014-06-09,177,14,3,81,0
Los Angeles,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,,,,,2014-06-09,120,56,2,27,0
Los Angeles,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,,,,,2014-06-09,55,92,3,99,1
Los Angeles,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,,,,,2014-06-09,68,69,6,69,1
Concord,South,Office Supplies,Paper,Xerox 1967,,,,,2017-04-15,178,24,6,36,0
Seattle,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,,,,2016-12-05,172,59,7,55,0
Fort Worth,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,,,2015-11-22,113,57,7,95,0
Fort Worth,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,,,,,2015-11-22,167,93,9,45,0
Madison,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,,,2014-11-11,21,72,9,33,1
West Jordan,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,,,,,2014-05-13,159,51,10,57,0
San Francisco,West,Office Supplies,Art,Newell 341,,,,,2014-08-27,149,57,2,86,0
San Francisco,West,Technology,Phones,Cisco SPA 501G IP Phone,,,,,2014-08-27,9,75,8,90,1
San Francisco,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",,,,,2014-08-27,63,24,10,49,0
Fremont,Central,Office Supplies,Art,Newell 318,,,,,2016-12-09,162,92,5,72,0
Fremont,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",,,,,2016-12-09,171,9,6,20,0
Philadelphia,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,,,,2017-07-16,59,83,12,22,0
Orem,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,,,2015-09-25,20,21,12,95,1
Los Angeles,West,Office Supplies,Binders,Wilson Jones Active Use Binders,,,,,2016-01-16,178,36,11,43,0
Los Angeles,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,,,,2016-01-16,87,15,7,28,0
Philadelphia,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,,,,2015-09-17,163,72,4,94,0
Philadelphia,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,,,,2015-09-17,185,42,8,43,0
Philadelphia,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,,,,2015-09-17,159,70,8,66,0
Philadelphia,East,Office Supplies,Envelopes,Poly String Tie Envelopes,,,,,2015-09-17,186,4,13,92,0
Philadelphia,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,,,,2015-09-17,56,64,4,42,0
Philadelphia,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,,,,2015-09-17,186,98,14,87,0
Philadelphia,East,Office Supplies,Art,Lumber Crayons,,,,,2015-09-17,73,44,9,90,1
Houston,Central,Office Supplies,Paper,Easy-staple paper,,,,,2017-10-19,138,66,3,48,0
Richardson,Central,Technology,Phones,GE 30524EE4,,,,,2016-12-08,157,82,7,82,0
Richardson,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,,,,2016-12-08,83,76,9,96,1
Houston,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,,,,2015-12-27,104,63,11,96,0
Houston,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,,2015-12-27,16,50,3,42,1
Houston,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",,,,,2015-12-27,105,26,5,96,0
Houston,Central,Technology,Phones,Plantronics HL10 Handset Lifter,,,,,2015-12-27,144,93,14,83,0
Naperville,Central,Technology,Phones,Panasonic Kx-TS550,,,,,2017-09-10,158,89,2,51,0
Los Angeles,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",,,,,2016-07-17,196,24,5,47,0
